		Miranium costs for I/V/X/XV/XX are 100/100/100/1500/2000, unranked are just 100					Affixes already present on gear can have their ranks raised, so long as there are still enhancement slots available on the piece.																		
Boost.HP-MAX XV	Skell Max HP +20%	16 Redwood Aprica Antlers	16 Golden Cantor Tooth	16 Big Balaena Water Bag	4 Foucaultium																				
Boost.HP-MAX XX	Skell Max HP +25%	32 Redwood Aprica Antlers	32 Golden Cantor Tooth	32 Big Balaena Water Bag	8 Bonjelium																				
Boost.M-ACC I	Skell Melee Acc +5%	1 Refined Horn	1 Muscled Suid Bulge	-	1 Aurorite																				
Boost.M-ACC V	Skell Melee Acc +9%	2 Refined Horn	2 Muscled Suid Bulge	-	1 Infernium																				
Boost.M-ACC X	Skell Melee Acc +14%	8 Refined Horn	8 Black Steel Heavy Armor	-	2 Cimmerian Cinnabar																				
Boost.M-ACC XV	Skell Melee Acc +20%	16 Refined Horn	16 Black Steel Heavy Armor	-	4 Ouroboros Crystal																				
Boost.M-ACC XX	Skell Melee Acc +25%	32 Refined Horn	32 Black Steel Heavy Armor	-	8 Parhelion Platinum																				
Boost.R-ACC I	Skell Ranged Acc +5%	1 Scratched Jewel	1 Appetizing Suid Tail	-	1 Aurorite																				
Boost.R-ACC V	Skell Ranged Acc +9%	2 Scratched Jewel	2 Appetizing Suid Tail	-	1 Infernium																				
Boost.R-ACC X	Skell Ranged Acc +14%	8 Scratched Jewel	8 Upgraded Spindle Part	-	2 Cimmerian Cinnabar																				
Boost.R-ACC XV	Skell Ranged Acc +20%	16 Scratched Jewel	16 Upgraded Spindle Part	-	4 Ouroboros Crystal																				
Boost.R-ACC XX	Skell Ranged Acc +25%	32 Scratched Jewel	32 Upgraded Spindle Part	-	8 Parhelion Platinum																				
Boost.EVA I	Skell Evasion +5%	1 Slimy Epithelium	1 Fal-swo Solar Crest	1 Black Fog Deposits	1 White Cometite																				
Boost.EVA V	Skell Evasion +9%	2 Slimy Epithelium	2 Fal-swo Solar Crest	2 Black Fog Deposits	1 Dawnstone																				
Boost.EVA X	Skell Evasion +14%	8 Slimy Epithelium	8 Brilliant Tersqual Liquid	8 Blinding Lophid Extract	2 Everfreeze Ore																				
Boost.EVA XV	Skell Evasion +20%	24 Slimy Epithelium	24 Brilliant Tersqual Liquid	24 Blinding Lophid Extract	8 Foucaultium																				
Boost.EVA XX	Skell Evasion +25%	48 Slimy Epithelium	48 Brilliant Tersqual Liquid	48 Blinding Lophid Extract	16 Bonjelium																				
Boost.M-ATK I	Skell Melee Pow +5%	1 Pure White Caro Tusk	1 Thick Falsaxum Horn	1 Muscled Suid Bulge	1 White Cometite																				
Boost.M-ATK V	Skell Melee Pow +9%	2 Pure White Caro Tusk	2 Thick Falsaxum Horn	2 Muscled Suid Bulge	1 Dawnstone																				
Boost.M-ATK X	Skell Melee Pow +14%	8 Pure White Caro Tusk	8 Standard Blade Module	8 Lone Purple Ictus Stinger	2 Everfreeze Ore																				
Boost.M-ATK XV	Skell Melee Pow +20%	24 Pure White Caro Tusk	24 Standard Blade Module	24 Lone Purple Ictus Stinger	8 Foucaultium																				
Boost.M-ATK XX	Skell Melee Pow +25%	48 Pure White Caro Tusk	48 Standard Blade Module	48 Lone Purple Ictus Stinger	16 Bonjelium																				
Boost.R-ATK I	Skell Ranged Pow +5%	1 Beryl Aetrygon Horn	1 Pure White Caro Tusk	1 Appetizing Suid Tail	1 White Cometite																				
Boost.R-ATK V	Skell Ranged Pow +9%	2 Beryl Aetrygon Horn	2 Pure White Caro Tusk	2 Appetizing Suid Tail	1 Dawnstone																				
Boost.R-ATK X	Skell Ranged Pow +14%	8 Beryl Aetrygon Horn	8 Black Petramand Silk	8 Lone White Ictus Stinger	2 Everfreeze Ore																				
Boost.R-ATK XV	Skell Ranged Pow +20%	24 Beryl Aetrygon Horn	24 Black Petramand Silk	24 Lone White Ictus Stinger	8 Foucaultium																				
Boost.R-ATK XX	Skell Ranged Pow +25%	48 Beryl Aetrygon Horn	48 Black Petramand Silk	48 Lone White Ictus Stinger	16 Bonjelium																				
Boost.PTL I	Skell Potential +5%	1 Nutritious Microbes	1 White Fungal Egg	1 Fleecy Fur	1 White Cometite																				
Boost.PTL V	Skell Potential +9%	2 Nutritious Microbes	2 White Fungal Egg	2 Fleecy Fur	1 Dawnstone																				
Boost.PTL X	Skell Potential +14%	4 Nutritious Microbes	4 Clear Gerrid Soup	4 Gularthian Everflame	2 Everfreeze Ore																				
Boost.PTL XV	Skell Potential +20%	18 Nutritious Microbes	18 Clear Gerrid Soup	18 Gularthian Everflame	8 Foucaultium																				
Boost.PTL XX	Skell Potential +25%	36 Nutritious Microbes	36 Clear Gerrid Soup	36 Gularthian Everflame	16 Bonjelium																				
SpecUp.FUEL-MAX I	Skell Max Fuel +500	1 Shiny Black Caro Plate	-	-	1 Arc Sand Ore																				
SpecUp.FUEL-MAX V	Skell Max Fuel +700	2 Shiny Black Caro Plate	-	-	1 Lionbone Bort																				
SpecUp.FUEL-MAX X	Skell Max Fuel +950	3 Shiny Black Caro Plate	-	-	1 Enduron Lead																				
SpecUp.FUEL-MAX XV	Skell Max Fuel +1200	4 Shiny Black Caro Plate	-	-	1 Boiled-Egg Ore																				
SpecUp.FUEL-MAX XX	Skell Max Fuel +1500	5 Shiny Black Caro Plate	-	-	1 Marine Rutile																				
SpecUp.FUEL-COST I	Skell fuel efficiency in battle +5%	1 Amber Cervus Antlers	-	-	1 Arc Sand Ore																				
SpecUp.FUEL-COST V	Skell fuel efficiency in battle +25%	2 Amber Cervus Antlers	-	-	1 Lionbone Bort																				
SpecUp.FUEL-COST X	Skell fuel efficiency in battle +50%	3 Amber Cervus Antlers	-	-	1 Enduron Lead																				
SpecUp.FUEL-COST XV	Skell fuel efficiency in battle +75%	4 Amber Cervus Antlers	-	-	1 Boiled-Egg Ore																				
SpecUp.FUEL-COST XX	Skell fuel efficiency in battle +100%	5 Amber Cervus Antlers	-	-	1 Marine Rutile																				
SpecUp.FUEL-PARK I	Recover 1 fuel every 10s while out of Skell	1 Amber Aetrygon Horn	-	-	1 Arc Sand Ore																				
SpecUp.FUEL-PARK V	Recover 5 fuel every 10s while out of Skell	2 Amber Aetrygon Horn	-	-	1 Lionbone Bort																				
SpecUp.FUEL-PARK X	Recover 10 fuel every 10s while out of Skell	3 Amber Aetrygon Horn	-	-	1 Enduron Lead																				
SpecUp.FUEL-PARK XV	Recover 15 fuel every 10s while out of Skell	4 Amber Aetrygon Horn	-	-	1 Boiled-Egg Ore																				
SpecUp.FUEL-PARK XX	Recover 20 fuel every 10s while out of Skell	5 Amber Aetrygon Horn	-	-	1 Marine Rutile																				
SpecUp.FUEL-BIND I	Restore 1 fuel/s while restraining enemy	1 Golden Gyrocompass	-	-	1 Arc Sand Ore																				
SpecUp.FUEL-BIND V	Restore 5 fuel/s while restraining enemy	2 Golden Gyrocompass	-	-	1 Lionbone Bort																				
SpecUp.FUEL-BIND X	Restore 10 fuel/s while restraining enemy	3 Golden Gyrocompass	-	-	1 Enduron Lead																				
SpecUp.FUEL-BIND XV	Restore 15 fuel/s while restraining enemy	4 Golden Gyrocompass	-	-	1 Boiled-Egg Ore																				
SpecUp.FUEL-BIND XX	Restore 20 fuel/s while restraining enemy	5 Golden Gyrocompass	-	-	1 Marine Rutile																				
SpecUp.FUEL-OD I	Recover 50 Fuel when starting OCGear	1 Scirpo Sulfuric Acid Sac	-	-	1 Arc Sand Ore																				
SpecUp.FUEL-OD V	Recover 90 Fuel when starting OCGear	2 Scirpo Sulfuric Acid Sac	-	-	1 Lionbone Bort																				
SpecUp.FUEL-OD X	Recover 140 Fuel when starting OCGear	3 Scirpo Sulfuric Acid Sac	-	-	1 Enduron Lead																				
SpecUp.FUEL-OD XV	Recover 190 Fuel when starting OCGear	4 Scirpo Sulfuric Acid Sac	-	-	1 Boiled-Egg Ore																				
SpecUp.FUEL-OD XX	Recover 250 Fuel when starting OCGear	5 Scirpo Sulfuric Acid Sac	-	-	1 Marine Rutile																				
CutTime.DEBUFF I	Debuff duration reduced 5% in Skell	1 Sharp Vivohast Jaw	-	-	1 Arc Sand Ore																				
CutTime.DEBUFF V	Debuff duration reduced 9% in Skell	2 Sharp Vivohast Jaw	-	-	1 Lionbone Bort																				
CutTime.DEBUFF X	Debuff duration reduced 14% in Skell	3 Sharp Vivohast Jaw	-	-	1 Enduron Lead																				
CutTime.DEBUFF XV	Debuff duration reduced 20% in Skell	4 Sharp Vivohast Jaw	-	-	1 Boiled-Egg Ore																				
CutTime.DEBUFF XX	Debuff duration reduced 25% in Skell	5 Sharp Vivohast Jaw	-	-	1 Marine Rutile																				
AttributeDmg.PHYS I	Physical dmg +10% in Skell	1 Sharp Germivore Jaw	1 Giant Falsaxum Jaw	-	1 Aurorite																				
AttributeDmg.PHYS V	Physical dmg +18% in Skell	2 Sharp Germivore Jaw	2 Giant Falsaxum Jaw	-	1 Infernium																				
AttributeDmg.PHYS X	Physical dmg +28% in Skell	4 Experia Glyph	4 Reinforced Frame	-	2 Cimmerian Cinnabar																				
AttributeDmg.PHYS XV	Physical dmg +38% in Skell	12 Experia Glyph	12 Reinforced Frame	-	4 Ouroboros Crystal																				
AttributeDmg.PHYS XX	Physical dmg +50% in Skell	24 Experia Glyph	24 Reinforced Frame	-	8 Parhelion Platinum																				
AttributeDmg.BEAM I	Beam dmg +10% in Skell	1 Quirky Liver	1 Gold Monoceros Horn	-	1 Aurorite																				
AttributeDmg.BEAM V	Beam dmg +18% in Skell	2 Quirky Liver	2 Gold Monoceros Horn	-	1 Infernium																				
AttributeDmg.BEAM X	Beam dmg +28% in Skell	4 Esse Glyph	4 Advanced Lens	-	2 Cimmerian Cinnabar																				
AttributeDmg.BEAM XV	Beam dmg +38% in Skell	12 Esse Glyph	12 Advanced Lens	-	4 Ouroboros Crystal																				
AttributeDmg.BEAM XX	Beam dmg +50% in Skell	24 Esse Glyph	24 Advanced Lens	-	8 Parhelion Platinum																				
AttributeDmg.ETHER I	Ether dmg +10% in Skell	1 Elemental Fragment	1 Golden Progen Wing	-	1 Aurorite																				
AttributeDmg.ETHER V	Ether dmg +18% in Skell	2 Elemental Fragment	2 Golden Progen Wing	-	1 Infernium																				
AttributeDmg.ETHER X	Ether dmg +28% in Skell	4 Creare Glyph	4 Purple Cervus Antlers	-	2 Cimmerian Cinnabar																				
AttributeDmg.ETHER XV	Ether dmg +38% in Skell	12 Creare Glyph	12 Purple Cervus Antlers	-	4 Ouroboros Crystal																				
AttributeDmg.ETHER XX	Ether dmg +50% in Skell	24 Creare Glyph	24 Purple Cervus Antlers	-	8 Parhelion Platinum																				
AttributeDmg.THERM I	Thermal dmg +10% in Skell	1 Reinforced Plunger	1 Herculean Beast Hair	-	1 Aurorite																				
AttributeDmg.THERM V	Thermal dmg +18% in Skell	2 Reinforced Plunger	1 Black Meaty Caecus Liver	-	1 Infernium																				
AttributeDmg.THERM X	Thermal dmg +28% in Skell	4 Experia Glyph	4 Jacul Horn	-	2 Cimmerian Cinnabar																				
AttributeDmg.THERM XV	Thermal dmg +38% in Skell	12 Experia Glyph	12 Jacul Horn	-	4 Ouroboros Crystal																				
AttributeDmg.THERM XX	Thermal dmg +50% in Skell	24 Experia Glyph	24 Jacul Horn	-	8 Parhelion Platinum																				
AttributeDmg.ELEC I	Electric dmg +10% in Skell	1 Quo Pod	1 Black Scintimure Tentacle	-	1 Aurorite																				
AttributeDmg.ELEC V	Electric dmg +18% in Skell	2 Vivohast Crescent Hook	2 Black Scintimure Tentacle	-	1 Infernium																				
AttributeDmg.ELEC X	Electric dmg +28% in Skell	4 Scienti Glyph	4 Reinforced Plug	-	2 Cimmerian Cinnabar																				
AttributeDmg.ELEC XV	Electric dmg +38% in Skell	12 Scienti Glyph	12 Reinforced Plug	-	4 Ouroboros Crystal																				
AttributeDmg.ELEC XX	Electric dmg +50% in Skell	24 Scienti Glyph	24 Reinforced Plug	-	8 Parhelion Platinum																				
AttributeDmg.GRAV I	Gravity dmg +10% in Skell	1 Black Gyrocompass	1 Visigel Waterfall Orb	-	1 Aurorite																				
AttributeDmg.GRAV V	Gravity dmg +18% in Skell	2 Black Gyrocompass	2 Visigel Waterfall Orb	-	1 Infernium																				
AttributeDmg.GRAV X	Gravity dmg +28% in Skell	4 Esse Glyph	4 Gold Sylooth Brace	-	2 Cimmerian Cinnabar																				
AttributeDmg.GRAV XV	Gravity dmg +38% in Skell	12 Esse Glyph	12 Gold Sylooth Brace	-	4 Ouroboros Crystal																				
AttributeDmg.GRAV XX	Gravity dmg +50% in Skell	24 Esse Glyph	24 Gold Sylooth Brace	-	8 Parhelion Platinum																				
PositionDmg.FRONT I	Dmg from Front +10% in Skell	1 Cracked Bill	1 Auravis Horn	-	1 Aurorite																				
PositionDmg.FRONT V	Dmg from Front +18% in Skell	2 Cracked Bill	2 Auravis Horn	-	1 Infernium																				
PositionDmg.FRONT X	Dmg from Front +28% in Skell	4 Cracked Bill	4 Black Vigent Rock Scalp	-	2 Cimmerian Cinnabar																				
PositionDmg.FRONT XV	Dmg from Front +38% in Skell	12 Cracked Bill	12 Black Vigent Rock Scalp	-	4 Ouroboros Crystal																				
PositionDmg.FRONT XX	Dmg from Front +50% in Skell	24 Cracked Bill	24 Black Vigent Rock Scalp	-	8 Parhelion Platinum																				
PositionDmg.SIDE I	Dmg from Side +10% in Skell	1 Pristine Claw	1 Green Blatta Wing	-	1 Aurorite																				
PositionDmg.SIDE V	Dmg from Side +18% in Skell	2 Pristine Claw	2 Green Blatta Wing	-	1 Infernium																				
PositionDmg.SIDE X	Dmg from Side +28% in Skell	4 Pristine Claw	4 Ingrown Virago Claw	-	2 Cimmerian Cinnabar																				
PositionDmg.SIDE XV	Dmg from Side +38% in Skell	12 Pristine Claw	12 Ingrown Virago Claw	-	4 Ouroboros Crystal																				
PositionDmg.SIDE XX	Dmg from Side +50% in Skell	24 Pristine Claw	24 Ingrown Virago Claw	-	8 Parhelion Platinum																				
PositionDmg.BACK I	Dmg from Back +10% in Skell	1 Jagged Grex Tail	1 Ebony Evello Egg	-	1 Aurorite																				
PositionDmg.BACK V	Dmg from Back +18% in Skell	2 Jagged Grex Tail	2 Ebony Evello Egg	-	1 Infernium																				
PositionDmg.BACK X	Dmg from Back +28% in Skell	4 Jagged Grex Tail	4 Purple Virago Alloy Plate	-	2 Cimmerian Cinnabar																				
PositionDmg.BACK XV	Dmg from Back +38% in Skell	12 Jagged Grex Tail	12 Purple Virago Alloy Plate	-	4 Ouroboros Crystal																				
PositionDmg.BACK XX	Dmg from Back +50% in Skell	24 Jagged Grex Tail	24 Purple Virago Alloy Plate	-	8 Parhelion Platinum																				
PositionDmg.ABOVE I	Dmg from Above +10% in Skell	1 Supple Leather	-	-	1 Arc Sand Ore																				
PositionDmg.ABOVE V	Dmg from Above +18% in Skell	2 Supple Leather	-	-	1 Lionbone Bort																				
PositionDmg.ABOVE X	Dmg from Above +28% in Skell	4 Supple Leather	-	-	2 Enduron Lead																				
PositionDmg.ABOVE XV	Dmg from Above +38% in Skell	12 Supple Leather	-	-	4 Boiled-Egg Ore																				
PositionDmg.ABOVE XX	Dmg from Above +50% in Skell	24 Supple Leather	-	-	8 Marine Rutile																				
AppendLost.ATK-UP I	Skell dmg +10% for every Appendage lost	1 Golden Puff	-	-	1 Arc Sand Ore																				
AppendLost.ATK-UP V	Skell dmg +18% for every Appendage lost	2 Golden Puff	-	-	1 Lionbone Bort																				
AppendLost.ATK-UP X	Skell dmg +28% for every Appendage lost	3 Golden Puff	-	-	1 Enduron Lead																				
AppendLost.ATK-UP XV	Skell dmg +38% for every Appendage lost	4 Golden Puff	-	-	1 Boiled-Egg Ore																				
AppendLost.ATK-UP XX	Skell dmg +50% for every Appendage lost	5 Golden Puff	-	-	1 Marine Rutile																				
AppendLost.EVA-UP I	Skell Evasion +2% for every Appendage lost	1 Longevity Bough	-	-	1 Arc Sand Ore																				
AppendLost.EVA-UP V	Skell Evasion +10% for every Appendage lost	2 Longevity Bough	-	-	1 Lionbone Bort																				
AppendLost.EVA-UP X	Skell Evasion +20% for every Appendage lost	3 Longevity Bough	-	-	1 Enduron Lead																				
AppendLost.EVA-UP XV	Skell Evasion +30% for every Appendage lost	4 Longevity Bough	-	-	1 Boiled-Egg Ore																				
AppendLost.EVA-UP XX	Skell Evasion +40% for every Appendage lost	5 Longevity Bough	-	-	1 Marine Rutile																				
AppendLost.GP I	No GP loss when Appendage lost, gain 50 GP	1 Lucky Cervus Sapling	-	-	1 Arc Sand Ore																				
AppendLost.GP V	No GP loss when Appendage lost, gain 90 GP	2 Lucky Cervus Sapling	-	-	1 Lionbone Bort																				
AppendLost.GP X	No GP loss when Appendage lost, gain 140 GP	3 Lucky Cervus Sapling	-	-	1 Enduron Lead																				
AppendLost.GP XV	No GP loss when Appendage lost, gain 190 GP	4 Lucky Cervus Sapling	-	-	1 Boiled-Egg Ore																				
AppendLost.GP XX	No GP loss when Appendage lost, gain 250 GP	5 Lucky Cervus Sapling	-	-	1 Marine Rutile																				
Overdrive.FRAME-HP I	Restore 1% of Skell HP when OCGear starts	1 Black Turba Nectar	1 Shimmering Silk	1 Scirpo Silk	1 White Cometite																				
Overdrive.FRAME-HP V	Restore 5% of Skell HP when OCGear starts	2 Black Turba Nectar	2 Shimmering Silk	2 Scirpo Silk	1 Dawnstone																				
Overdrive.FRAME-HP X	Restore 10% of Skell HP when OCGear starts	8 Black Turba Nectar	8 Tasty Fish Belly	8 Black Sylooth Brace	2 Everfreeze Ore																				
Overdrive.FRAME-HP XV	Restore 15% of Skell HP when OCGear starts	16 Black Turba Nectar	16 Tasty Fish Belly	16 Black Sylooth Brace	4 Foucaultium																				
Overdrive.FRAME-HP XX	Restore 20% of Skell HP when OCGear starts	32 Black Turba Nectar	32 Tasty Fish Belly	32 Black Sylooth Brace	8 Bonjelium																				
Overdrive.APPEND-HP I	Restore 1% HP to all Appendages when OCGear starts	1 Azure Sacrifole Feather	-	-	1 Arc Sand Ore																				
Overdrive.APPEND-HP V	Restore 5% HP to all Appendages when OCGear starts	2 Azure Sacrifole Feather	-	-	1 Lionbone Bort																				
Overdrive.APPEND-HP X	Restore 10% HP to all Appendages when OCGear starts	8 Azure Sacrifole Feather	-	-	2 Enduron Lead																				
Overdrive.APPEND-HP XV	Restore 15% HP to all Appendages when OCGear starts	16 Azure Sacrifole Feather	-	-	4 Boiled-Egg Ore																				
Overdrive.APPEND-HP XX	Restore 20% HP to all Appendages when OCGear starts	32 Azure Sacrifole Feather	-	-	8 Marine Rutile																				
Overdrive.EXTEND I	OCGear Continue chance +1%	1 Elemental Cluster	1 Moving Thallus Tail	1 Puge Counter	1 White Cometite																				
Overdrive.EXTEND V	OCGear Continue chance +5%	2 Elemental Cluster	2 Moving Thallus Tail	2 Puge Counter	1 Dawnstone																				
Overdrive.EXTEND X	OCGear Continue chance +10%	8 Elemental Cluster	8 Fertilized Jacul Egg	4 Maple Oil	2 Everfreeze Ore																				
Overdrive.EXTEND XV	OCGear Continue chance +15%	16 Elemental Cluster	16 Fertilized Jacul Egg	12 Maple Oil	4 Foucaultium																				
Overdrive.EXTEND XX	OCGear Continue chance +20%	32 Elemental Cluster	32 Fertilized Jacul Egg	24 Maple Oil	8 Bonjelium																				
Vehicle.APPEND-DEF I	Dmg to Appendages while in vehicle form reduced 10%	1 Multicolor Murra Wing	-	-	1 Arc Sand Ore																				
Vehicle.APPEND-DEF V	Dmg to Appendages while in vehicle form reduced 18%	2 Multicolor Murra Wing	-	-	1 Lionbone Bort																				
Vehicle.APPEND-DEF X	Dmg to Appendages while in vehicle form reduced 28%	3 Multicolor Murra Wing	-	-	1 Enduron Lead																				
Vehicle.APPEND-DEF XV	Dmg to Appendages while in vehicle form reduced 38%	4 Multicolor Murra Wing	-	-	1 Boiled-Egg Ore																				
Vehicle.APPEND-DEF XX	Dmg to Appendages while in vehicle form reduced 50%	5 Multicolor Murra Wing	-	-	1 Marine Rutile																				
Vehicle.FRAME-DEF I	Dmg to Skell frame while in vehicle form reduced 5%	1 Giant Blue Pearl	-	-	1 Arc Sand Ore																				
Vehicle.FRAME-DEF V	Dmg to Skell frame while in vehicle form reduced 9%	2 Giant Blue Pearl	-	-	1 Lionbone Bort																				
Vehicle.FRAME-DEF X	Dmg to Skell frame while in vehicle form reduced 14%	3 Giant Blue Pearl	-	-	1 Enduron Lead																				
Vehicle.FRAME-DEF XV	Dmg to Skell frame while in vehicle form reduced 19%	4 Giant Blue Pearl	-	-	1 Boiled-Egg Ore																				
Vehicle.FRAME-DEF XX	Dmg to Skell frame while in vehicle form reduced 25%	5 Giant Blue Pearl	-	-	1 Marine Rutile																				
