Name	Genus	Type	Continent	Location	Lv	Exp	HP	M.Pow	M.Acc	R.Pow	R.Acc	Pot.	Eva	Res		Drops~								Wep	Armor	SkellWep	SkellArmr	Tyrant
				n=night, hi/lo=high/low, air=flying around, wait=doesn't appear immediately										Phys/Beam/Eth/Heat/Elec/Grav										Gear Drops (click link for more details)			
Izgnanie, the Smoldering	Lophid	Piscinoid	Cauldros	508E	64	3743	2047169	3223	283	2731	278	2803	229	5/5/-20/5/-45/-20		Large Lophid Liver	Alluring Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---	Y
Blazing Lophid	Lophid	Piscinoid	Cauldros	White Phosphor Lake	21~30	319~524	127960~217971	524~772	137~166	444~655	133~161	456~672	61~95	0/0/-25/0/-50/-25		Large Lophid Liver	Alluring Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
Gehenna Lophid	Lophid	Piscinoid	Cauldros	504,506	51~60	1151~1482	438339~512958	1513~1886	231~266	1283~1599	227~261	1316~1640	173~213	0/0/-25/0/-50/-25		Large Lophid Liver	Alluring Lophid Extract	Spiked Tail Fin	Lophid Jaw Meat	Quirky Liver	Smelly Fish Meat	---		---	CC - L	6	---
Blitz Scintimure	Scintimure	Piscinoid	Cauldros	504SW(lo),Titan's Table(lo)	31~40	255~362	45131~63178	511~699	213~246	564~770	207~240	525~717	94~123	0/-50/-25/0/10/-25		Rich Scintimure Meat	Red Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---
Thunder Scintimure	Scintimure	Piscinoid	Cauldros	504SW(lo),Titan's Table(lo)	41~50	378~521	70566~85385	722~936	249~288	796~1032	243~282	741~960	126~161	0/-50/-25/0/10/-25		Rich Scintimure Meat	Red Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---
Eddy, the Electric Heat	Scintimure	Piscinoid	Cauldros	Titan's Table(lo)	43	1315	798959	1076	269	1187	263	1104	139	5/-45/-20/25/15/-20		Rich Scintimure Meat	Red Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---	Y
Coil, the Neverending	Scintimure	Piscinoid	Cauldros	504E (EM Storm, skywalk)	55	2897	1687095	2241	327	2470	321	2299	191	5/-45/-20/5/15/-20		Rich Scintimure Meat	Purple Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---	Y
Rain Scintimure	Scintimure	Piscinoid	Cauldros	504E (EM Storm, skywalk)	31~40	547~775	216978~303741	682~932	213~246	752~1027	207~240	700~956	94~123	0/-50/-25/0/10/-25		Rich Scintimure Meat	Purple Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---
Storm Scintimure	Scintimure	Piscinoid	Cauldros	509 (EM Storm, skywalk)	41~50	809~1117	339261~410508	963~1248	249~288	1062~1376	243~282	988~1280	126~161	0/-50/-25/0/10/-25		Rich Scintimure Meat	Purple Scintimure Tentacle	Scintimure Fat	Pristine Spicule	Small Dorsal Fin	---	---		---	CC - M	14	---
Valiant Ceto	Ceto	Piscinoid	Cauldros	[19:00~5:00]: 503	41~50	895~1235	780839~944820	1926~2496	234~270	1778~2304	233~270	1482~1920	106~135	0/0/-25/0/-50/-25		Ceto Roe	Unlucky Black Whisker	Pink Ceto Membrane	Large Saw Tooth	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	---	---
Vanguard Ceto	Ceto	Piscinoid	Cauldros	[19:00~5:00]: isleSEof507	51~60	1273~1638	963017~1126954	2566~3198	274~315	2368~2952	274~316	1974~2460	138~174	0/0/-25/0/-50/-25		Ceto Roe	Unlucky Black Whisker	Pink Ceto Membrane	Large Saw Tooth	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	---	---
Polaris, the Firmamental	Ceto	Piscinoid	Cauldros	[19:00~5:00]: 505N(air)	63	4021	4429354	5355	344	4944	335	4119	182	5/5/-20/5/-45/-20		Ceto Roe	Unlucky Black Whisker	Pink Ceto Membrane	Large Saw Tooth	Tasty Fish Belly	Fatty Fish Belly	---		---	ME - H	---	---	Y
Vortice, the Deific Blast	Colubrium	Piscinoid	Cauldros	M'gandopeak (Brimstone Rain, air)	94	9137	8468097	5791	418	5791	412	5148	317	50/25/25/100/100/25		Reverse Colubrium Fin	Brown Colubrium Tail	Colubrium Eel Kebab	Quality Scale	Pristine Whiskers	---	---		---	OR - H	10	---	Y
Coast Visigel	Visigel	Piscinoid	Cauldros	515	21~30	84~138	19388~33026	225~332	148~179	250~369	147~178	250~369	55~85	0/0/-25/0/-50/-25		Visigel Poison Orb	Brilliant Visigel Liquid	Glowing Retina	Opaque Membrane	---	---	---		〇	---	---	---
Cave Visigel	Visigel	Piscinoid	Cauldros	Infernal Ledges	31~40	144~204	34441~48213	346~473	182~210	385~525	181~210	385~525	88~115	0/0/-25/0/-50/-25		Visigel Poison Orb	Brilliant Visigel Liquid	Glowing Retina	Opaque Membrane	---	---	---		〇	---	---	---
Razer Visigel	Visigel	Piscinoid	Cauldros	isleSEof507	51~60	303~390	66415~77721	651~811	250~287	723~902	250~288	723~902	154~190	0/0/-25/0/-50/-25		Visigel Poison Orb	Brilliant Visigel Liquid	Glowing Retina	Opaque Membrane	---	---	---		〇	---	---	---
Poppy, the Pyromaniac	Visigel	Piscinoid	Cauldros	Infernal Ledges	36	260	94187	436	207	485	207	485	108	5/5/-20/5/-45/-20		Visigel Poison Orb	Brilliant Visigel Liquid	Glowing Retina	Opaque Membrane	---	---	---		〇	---	---	---	Y
Sizzling Visigel	Visigel	Piscinoid	Cauldros	505	1~10	15~42	1372~7824	30~106	107~126	34~118	105~123	34~118	15~33	0/0/-25/0/-50/-25		Visigel Poison Orb	Brilliant Visigel Liquid	Glowing Retina	Opaque Membrane	---	---	---		〇	---	---	---
Phosphorous Filiavent	Filiavent	Piscinoid	Cauldros	White Phosphor Lake	51~60	1212~1560	577810~676172	1314~1638	244~280	1741~2170	262~302	1314~1638	154~190	0/0/-25/0/-50/-25		Filiavent Intestine	Giant Protein	Black Filiavent Tentacle	Quality Skin	Mollusk Mucus	---	---		---	CC - H	---	---
Trueno, the Cataclysm	Filiavent	Piscinoid	Cauldros	White Phosphor Lake	60	3510	2535647	2583	294	3421	317	2583	199	5/5/-20/5/-45/-20		Filiavent Intestine	Giant Protein	Black Filiavent Tentacle	Quality Skin	Mollusk Mucus	---	---		---	CC - H	---	---	Y
Duran, the Draconian	Marnuck	Humanoid	Cauldros	[5:00~0:00]: 511NW	38	223	98888	470	208	540	224	470	120	5/-20/15/5/5/5		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---	Y
Berserker Marnuck	Marnuck	Humanoid	Cauldros	O'rrh Sim Castle Ruins	45	299	123816	585	231	644	236	585	143	5/-20/15/5/5/5		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	11	---	Y
Marnuck Slugger	Marnuck	Humanoid	Cauldros	507N,Wildcat Fortress,O'rrh Simrim	41~50	170~235	50350~60924	494~640	208~240	543~704	213~246	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Marnuck Hornet	Marnuck	Humanoid	Cauldros	503S,511	41~50	170~235	50350~60924	494~640	208~240	543~704	213~246	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Marnuck Grappler	Marnuck	Humanoid	Cauldros	502E(night),503SE,Boxtrap Checkpoint	31~40	115~163	32202~45079	350~478	178~205	385~525	181~210	350~478	92~120	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Marnuck Blaster	Marnuck	Humanoid	Cauldros	502,505NW,511NW,512NW	31~40	115~163	32202~45079	350~478	178~205	385~525	181~210	350~478	92~120	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Marnuck Minor	Marnuck	Humanoid	Cauldros	503SE,Wildcat Fortress	41~50	179~247	50350~60924	494~640	208~240	543~704	213~246	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Marnuck Soldier	Marnuck	Humanoid	Cauldros	502(hi)	21~30	67~110	16479~28072	250~369	152~183	228~336	140~170	228~336	55~85	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Imperial	Marnuck	Humanoid	Cauldros	O'rrh Sim Gate/Castle Ruins, O'rrh Sim Keep	41~50	170~235	52612~63661	494~640	208~240	568~736	223~258	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---
Marnuck Gatling	Marnuck	Humanoid	Cauldros	504E(skywalk),507,516SW,Kitsune Stronghold, isleSEof507,Old Ceremonial Hollow,Ganglion Antropolis	51~60	218~281	64887~75933	658~820	244~280	756~943	262~302	658~820	161~199	0/-25/10/0/0/0		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---
Marnuck Pulser	Marnuck	Humanoid	Cauldros	504E(skywalk),Kitsune Stronghold,Old Ceremonial Hollow	51~60	255~328	64887~75933	658~820	244~280	756~943	262~302	658~820	161~199	0/-25/10/0/0/0		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---
Marnuck Dynamo	Marnuck	Humanoid	Cauldros	516SW,Bestial Utopia,Ganglion Antropolis	51~70	255~428	64887~88208	658~998	244~290	756~1147	262~313	658~998	161~210	0/-25/10/0/0/0		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---
Marnuck Transitioner	Marnuck	Humanoid	Cauldros	511NW	41~50	187~259	52612~63661	494~640	208~240	568~736	223~258	494~640	123~157	0/-25/10/0/0/0		Combat Boost Meds	Fine Red Belt	Broken Buckle	---	---	---	---		〇	---	11	---
Marnuck Barrager	Marnuck	Humanoid	Cauldros	502(hi),isleWof501,isleSEof507	21~30	67~110	17294~29459	262~386	155~188	228~336	140~170	228~336	55~85	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Pawn	Marnuck	Humanoid	Cauldros	501	1~10	11~32	1223~6979	35~124	112~132	31~108	100~118	31~108	15~33	0/-25/10/0/0/0		Combat Boost Meds	Fine Transparent Belt	Broken Buckle	---	---	---	---		〇	---	---	---
Marnuck Aspirer	Marnuck	Humanoid	Cauldros	502,503SE,505E(hi)509(hi),blackgate, Boxtrap Checkpoint,O'rrh Simgate	31~40	115~163	32202~45079	350~478	178~205	385~525	181~210	350~478	92~120	0/-25/10/0/0/0		Combat Boost Meds	Fine White Belt	Broken Buckle	---	---	---	---		〇	---	9	---
Milsaadi Fighter	Milsaadi	Humanoid	Cauldros	515,Kw'arah Cloister	31~40	121~171	27793~38907	385~525	186~215	332~454	181~210	350~478	99~129	0/-25/10/0/0/0		Red Milsaadi Hood	Parasitic Capsule	Dirty Cloth	---	---	---	---		〇	---	19	---
Milsaadi Hunter	Milsaadi	Humanoid	Cauldros	504E(skywalk),Sunset Falls,Kw'arah Cloister,O'rrh Sim Keep	41~50	179~247	43457~52584	543~704	218~252	469~608	213~246	494~640	132~168	0/-25/10/0/0/0		Red Milsaadi Hood	Parasitic Capsule	Dirty Cloth	---	---	---	---		〇	---	19	---
Milsaadi Assassin	Milsaadi	Humanoid	Cauldros	Kitsune Stronghold,M'gando/NW(hi),Ganglion Antropolis	51~60	255~328	53596~62720	723~902	256~294	625~778	250~288	658~820	173~213	0/-25/10/0/0/0		Red Milsaadi Hood	Parasitic Capsule	Dirty Cloth	---	---	---	---		〇	---	19	---
Sharnaak, the Technician	Milsaadi	Humanoid	Cauldros	[19:00~5:00]: M'gando	46	540	128352	728	246	629	241	662	158	5/-20/15/5/5/5		Red Milsaadi Hood	Parasitic Capsule	Dirty Cloth	---	---	---	---		〇, *	---	19	---	Y
Milsaadi Rampager	Milsaadi	Humanoid	Cauldros	504E(skywalk),512NW	41~50	179~247	42326~51215	543~704	218~252	469~608	213~246	494~640	132~168	0/-25/10/0/0/0		Red Milsaadi Hood	Parasitic Capsule	Dirty Cloth	---	---	---	---		〇	---	20	---
Milsaadi Savage	Milsaadi	Humanoid	Cauldros	507,Kitsune Stronghold,M'gando,Ganglion Antropolis	51~60	255~328	52202~61088	723~902	256~294	625~779	250~288	658~820	173~213	0/-25/10/0/0/0		Red Milsaadi Hood	Parasitic Capsule	Dirty Cloth	---	---	---	---		〇	---	20	---
Chantai, the Insect Maiden	Milsaadi	Humanoid	Cauldros	[19:00~5:00]: 509(skywalk)	38	233	79542	517	219	446	213	470	128	5/-20/15/5/5/5		Red Milsaadi Hood	Parasitic Capsule	Dirty Cloth	---	---	---	---		〇, *	---	20	---	Y
Gaia Gularth	Gularth	Humanoid	Cauldros	504 (Not Brimstone Rain),Titan's Table	51~80	2182~4579	929438~1439309	2467~4417	225~323	2368~4240	221~319	1974~3534	77~137	0/-25/10/50/-25/-25		Gularthian Everflame	Gularthian Flint	Scorching Giant Cells	Lava Crystal	Flaming Rock	---	---		---	SS - H	12	---
Ilithios, the Enlightened	Gularth	Humanoid	Cauldros	Sunset Falls (Not Brimstone Rain)	48	2981	1972590	2385	225	2290	220	1908	74	5/-20/15/55/-20/-20		Gularthian Everflame	Gularthian Flint	Scorching Giant Cells	Lava Crystal	Flaming Rock	---	---		---	SS - H	12	---	Y
Alithios, the Indignant	Gularth	Humanoid	Cauldros	M'gandopeak (Brimstone Rain)	81	7031	3277963	4708	340	4519	335	3766	144	5/-20/15/100/-20/-20		Gularthian Everflame	Gularthian Flint	Scorching Giant Cells	Lava Crystal	Flaming Rock	---	---		---	SS - H	12	---	Y
Ymir Gularth	Gularth	Humanoid	Cauldros	Replaces Gaia Gularth (Brimstone Rain)	51~80	2182~4579	929438~1439309	2467~4417	225~323	2368~4240	221~319	1974~3534	77~137	0/-25/10/50/-25/-25		Gularthian Everflame	Gularthian Flint	Scorching Giant Cells	Lava Crystal	Flaming Rock	---	---		---	SS - H	12	---
HH100: Hierana	Definian	Humanoid	Cauldros	Mia is Missing!	50	235	52584	704	240	704	235	768	165	0/-25/10/0/0/0		Fine Black Belt	Broken Buckle	---	---	---	---	---		---	---	---	---
ER001: Emeroa	Definian	Humanoid	Cauldros	Definian Downfall	38	149	36306	492	199	492	194	537	119	0/-25/10/0/0/0		---	---	---	---	---	---	---		---	---	---	---
HP001: Harriess	Definian	Humanoid	Cauldros	Definian Downfall	38	149	36306	492	199	492	194	537	119	0/-25/10/0/0/0		---	---	---	---	---	---	---		---	---	---	---
JD001: Juda	Definian	Humanoid	Cauldros	Definian Downfall	38	149	36306	492	199	492	194	537	119	0/-25/10/0/0/0		---	---	---	---	---	---	---		---	---	---	---
MO037: Moore	Definian	Humanoid	Cauldros	The Duel (Part IV)	40	163	38907	525	205	525	200	573	126	0/-25/10/0/0/0		---	---	---	---	---	---	---		---	---	---	---
ST816: Stalio	Definian	Humanoid	Cauldros	Bozé's Ignorance	44	192	46500	596	217	596	212	650	139	0/-25/10/0/0/0		---	---	---	---	---	---	---		---	---	---	---
Definian Copy	Definian	Humanoid	Cauldros	504E(skywalk) finnicky spawn	41~50	170~235	43457~52584	543~704	208~240	543~704	203~235	592~768	129~165	0/-25/10/0/0/0		Fine Black Belt	Broken Buckle	---	---	---	---	---		---	ME - M	---	---
Definian Clone	Definian	Humanoid	Cauldros	501(hi),Ganglion Antropolis	51~70	242~408	53596~72860	723~1097	244~290	723~1097	239~285	789~1197	169~220	0/-25/10/0/0/0		Fine Black Belt	Broken Buckle	---	---	---	---	---		---	ME - M	---	---
WR512: Urdu	Definian	Humanoid	Cauldros	[5:00~19:00]: Ganglion Antropolis	62	497	145624	986	296	986	290	1076	221	5/-20/15/5/5/5		Fine Black Belt	Broken Buckle	---	---	---	---	---		---	ME - M	---	---	Y
Sentinel Satellis	Vita	Mechanoid	Cauldros	Summoned by Leva'el	51~90	0	166037~288527	658~1358	244~360	658~1358	239~355	723~1493	77~142	30/-10/30/30/-10/-20		---	---	---	---	---	---	---					
Rexoskell	Rexoskell	Mechanoid	Cauldros	Definian Downfall, Time Attack	54	2640	526372	854	332	925	326	712	174	30/-25/10/10/-25/-50		Rexoskell Sucker	Creare Glyph	Eerie Lightning Tentacle	---	---	---	---					
Night Combat Puge	Puge	Mechanoid	Cauldros	[19:00~5:00]: 505(hi)	34	203	77917	421	206	421	200	411	106	35/-20/15/15/-20/-45		Puge Self-Destruct Mechanism	Puge Counter	Advanced Thruster	Energy Tube	Standard Crank	---	---		---	---	3	---	Y
Gate Puge	Puge	Mechanoid	Cauldros	501	1~10	13~35	1223~6979	31~108	110~129	31~108	105~123	31~108	15~34	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Porter Puge	Puge	Mechanoid	Cauldros	502N(hi)	11~20	38~66	7675~16334	117~205	131~150	117~205	126~144	117~205	36~55	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Fighter Puge	Puge	Mechanoid	Cauldros	502(hi),White Phosphor Lake	21~30	71~116	17294~29459	228~336	152~183	228~336	147~178	228~336	57~89	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Reinforced Thruster	Energy Tube	Standard Crank	---	---		---	---	13	---
Cavalier Puge	Puge	Mechanoid	Cauldros	505(hi)/NW,508W,511NW	31~40	121~171	30721~43005	358~489	186~215	358~489	181~210	350~478	92~120	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Advanced Thruster	Energy Tube	Standard Crank	---	---		---	---	3	---
Solid Puge	Puge	Mechanoid	Cauldros	504/E(skywalk),507N,508W	41~50	179~247	48035~58122	506~656	218~252	506~656	213~246	494~640	123~157	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Advanced Thruster	Energy Tube	Standard Crank	---	---		---	---	3	---
Coffin Puge	Puge	Mechanoid	Cauldros	504E(skywalk),507,516SW,Old Ceremonial Hollow	51~60	255~328	59242~69327	674~840	256~294	674~840	250~288	658~820	161~199	30/-25/10/10/-25/-50		Puge Self-Destruct Mechanism	Puge Counter	Advanced Thruster	Energy Tube	Standard Crank	---	---		---	---	3	---
Broadsword Pugilith	Pugilith	Mechanoid	Cauldros	505E(hi)	31~40	282~400	49508~69305	550~752	169~194	576~787	173~200	524~715	79~103	30/-25/10/10/-25/-50		Pugilith Lamp	Quality Fuse	Used Cylinder	Genuine Crank	Dual Boards	Stripped Plating	---		---	---	1	---
Judge Pugilith	Pugilith	Mechanoid	Cauldros	Ganglion Antropolis	51~60	594~764	95471~111723	1034~1290	231~266	1084~1352	239~275	985~1229	138~171	30/-25/10/10/-25/-50		Pugilith Lamp	Quality Fuse	New Cylinder	Genuine Crank	Dual Boards	Stripped Plating	---		---	---	18	---
Talon Eagle Galdr	Galdr	Mechanoid	Cauldros	O'rrh Simskies,Ganglion Antropolis	51~60	679~874	103740~121400	987~1230	288~308	1085~1353	262~302	987~1230	138~171	30/-25/10/10/-25/-50		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	6, *	SA - M
Armed Recon Galdr	Galdr	Mechanoid	Cauldros	Cauldros Waters (West) - Island	65	1512	295190	1430	329	1572	323	1430	184	35/-20/15/15/-20/-45		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	6, *	SA - M	Y
Armed Engineer Galdr	Galdr	Mechanoid	Cauldros	501	41	716	189232	894	240	816	223	778	99	35/-20/15/15/-20/-45		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	3, *	SA - M	Y
Guide Raptor Galdr	Galdr	Mechanoid	Cauldros	507N	41~50	477~659	84115~101779	741~960	208~240	889~1152	233~270	741~960	94~120	30/-25/10/10/-25/-50		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	12, *	SA - M
Guide Eagle Galdr	Galdr	Mechanoid	Cauldros	O'rrh Sim Watchtowers E	51~60	679~874	103740~121400	987~1230	244~280	1184~1476	274~316	987~1230	123~152	30/-25/10/10/-25/-50		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	12, *	SA - M
Air Support Galdr	Galdr	Mechanoid	Cauldros	[19:00~5:00]: Wildcat Fortress	54	1109	246623	1121	268	1345	302	1121	139	35/-20/15/15/-20/-45		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	12, *	SA - M	Y
Armed Destroyer Galdr	Galdr	Mechanoid	Cauldros	505E(hi)	45	837	206890	922	231	1010	259	878	109	35/-20/15/15/-20/-45		O.X. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	17, *	SA - M	Y
Chantai's Galdr	Galdr	Mechanoid	Cauldros	[5:00~19:00]: 511NW	47	897	215720	1091	269	998	251	929	130	35/-20/15/15/-20/-45		T.P. Unit	Galdr Head	Reinforced Plug	Multi-Wire	All-Purpose Plug	---	---		---	---	3, *	SA - M	Y
Drone Pawn Quo	Quo	Mechanoid	Cauldros	502N(hi),505NW	11~20	51~88	9465~20143	115~202	125~143	118~208	120~138	154~270	36~55	30/-25/10/10/-25/-50		Black Gyrocompass	Reinforced Plunger	Quo Pod	Upgraded Jammer	Standard Jammer	---	---		---	---	4	SA - M
Drone Queen Quo	Quo	Mechanoid	Cauldros	504E(skywalk),507NW,O'rrh Sim Keep	41~50	241~333	59236~71676	489~633	208~240	502~650	203~235	652~844	123~157	30/-25/10/10/-25/-50		Black Gyrocompass	Reinforced Plunger	Quo Pod	Upgraded Jammer	Standard Jammer	---	---		---	---	4	SA - M
Frontline Medic Quo	Quo	Mechanoid	Cauldros	O'rrh Sim Keep	40	345	119327	496	215	496	215	662	126	35/-20/15/15/-20/-45		Golden Gyrocompass	Reinforced Plunger	Quo Pod	Upgraded Jammer	Standard Jammer	---	---		---	---	2	SA - M	Y
Selenium Oc-serv	Oc-serv	Mechanoid	Cauldros	504E(skywalk),505(hi)	31~40	192~272	41329~57855	385~525	160~184	404~552	173~200	385~525	96~126	30/-25/10/10/-25/-50		Oc-serv Southern Crest	Elemental Cluster	Oc-serv Hand	Elemental Fragment	Upgraded Coil	Standard Coil	---		---	---	10	---
Rhenium Oc-serv	Oc-serv	Mechanoid	Cauldros	Kitsune Stronghold, M'gando Old Ceremonial Hollow,Ganglion Antropolis	51~60	404~520	79698~93265	723~902	219~252	759~947	239~275	723~902	169~209	30/-25/10/10/-25/-50		Oc-serv Southern Crest	Elemental Cluster	Oc-serv Hand	Elemental Fragment	Upgraded Coil	Standard Coil	---		---	---	10	---
Na-mulk, the Rebellious	Oc-serv	Mechanoid	Cauldros	505(hi)	47	534	165750	681	215	715	234	681	159	35/-20/15/15/-20/-45		Oc-serv Southern Crest	Elemental Cluster	Oc-serv Hand	Elemental Fragment	Upgraded Coil	Standard Coil	---		---	---	10	---	Y
Rebel Oc-serv	Oc-serv	Mechanoid	Cauldros	Cauldros Gate	31~40	192~272	41329~57855	385~525	160~184	404~552	173~200	385~525	96~126	30/-25/10/10/-25/-50		Oc-serv Western Crest	Elemental Cluster	Oc-serv Hand	Elemental Fragment	Upgraded Coil	Standard Coil	---		---	---	10	---
Beryllium Oc-serv	Oc-serv	Mechanoid	Cauldros	Kw'arah Cloister	41~50	284~392	64621~78192	543~704	187~216	570~739	203~235	543~704	129~165	30/-25/10/10/-25/-50		Oc-serv Western Crest	Elemental Cluster	Oc-serv Hand	Elemental Fragment	Upgraded Coil	Standard Coil	---		---	---	10	---
Twin Qmoeva	Qmoeva	Mechanoid	Cauldros	Rites of Ruin	30	283	47458	529	175	529	170	504	99	30/-25/10/10/-25/-50		---	---	---	---	---	---	---					
Talon Knight Qmoeva	Qmoeva	Mechanoid	Cauldros	502(hi)	21~30	172~283	27860~47458	342~504	145~175	342~504	140~170	342~504	56~87	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Genuine Frame	Dual Boards	Quality Crank	---	---		---	---	11, *	SA - L, GG - L
Suppressor Rook Qmoeva	Qmoeva	Mechanoid	Cauldros	505(hi)	31~40	296~419	49491~69282	525~717	178~205	525~717	173~200	525~717	90~117	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Genuine Frame	Dual Boards	Quality Crank	---	---		---	---	20, *	SA - L, GG - L
War Emperor Qmoeva	Qmoeva	Mechanoid	Cauldros	O'rrh Simgate	41~50	437~604	77383~93634	741~960	208~240	815~1056	203~235	741~960	123~57	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Reinforced Frame	Dual Boards	Quality Crank	---	---		---	---	9, *	SA - L, GG - L
Urdu’s Qmoeva	Qmoeva	Mechanoid	Cauldros	[0:00~5:00]: Ganglion Antropolis	55	1044	230965	1149	273	1264	267	1149	187	35/-20/15/15/-20/-45		Bloodied Face	Qmoevan Capacitor	Reinforced Frame	Dual Boards	Quality Crank	---	---		---	---	9, *	SA - L, GG - L	Y
Buster Emperor Qmoeva	Qmoeva	Mechanoid	Cauldros	505 (Air),O'rrh Simgate[Cauldros Gate?]	41~50	437~604	77383~93634	815~1056	208~240	741~960	203~235	741~960	123~157	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Reinforced Frame	Dual Boards	Quality Crank	---	---		---	---	11, *	SA - L, GG - L
Duel Emperor Qmoeva	Qmoeva	Mechanoid	Cauldros	503SE (Air)	41~50	437~604	77383~93634	741~960	228~264	741~960	223~258	741~960	123~157	30/-25/10/10/-25/-50		Bloodied Face	Qmoevan Capacitor	Reinforced Frame	Dual Boards	Quality Crank	---	---		---	---	19, *	SA - L, GG - L
